"route_short_name";"direction_id";"trip_headsign";"num_stops";"total_trips";"trips_peak_am";"trips_midday";"trips_peak_pm"
"002";0;"2 Macdonald/To Burrard Station";2;103;0.0;16.0;18.0
"002";1;"2 Macdonald/To 16th Avenue";1;30;0.0;7.0;4.0
"002";1;"2 Macdonald/To Dunbar Loop";1;72;0.0;8.0;16.0
"003";0;"3 Main/To Waterfront Station";1;85;0.0;13.0;13.0
"003";1;"3 Main/To Marine Dr Station";1;85;0.0;12.0;14.0
"004";0;"4 Downtown";1;3;0.0;0.0;0.0
"004";0;"4 Powell";3;66;0.0;12.0;16.0
"004";1;"4 To Blanca Loop";1;2;0.0;0.0;0.0
"004";1;"4 UBC";1;59;0.0;12.0;14.0
"005";0;"5 Downtown";1;124;0.0;15.0;31.0
"005";0;"5 To Granville";1;2;0.0;0.0;0.0
"005";1;"5 Robson";2;124;0.0;16.0;30.0
"006";0;"6 Downtown";1;124;0.0;16.0;31.0
"006";1;"6 Davie";2;126;0.0;17.0;30.0
"007";0;"7 Nanaimo Station";2;63;0.0;12.0;10.0
"007";1;"7 Downtown";1;1;0.0;0.0;0.0
"007";1;"7 Dunbar";2;61;0.0;12.0;13.0
"007";1;"7 to Hastings";1;1;0.0;0.0;0.0
"008";0;"8 Fraser/To SE Marine Dr";2;85;0.0;13.0;12.0
"008";1;"8 Fraser/to 41st Ave";1;8;0.0;0.0;0.0
"008";1;"8 Fraser/To Waterfront Station";3;78;0.0;12.0;12.0
"009";0;"9 Broadway/To Boundary Loop";3;119;0.0;17.0;17.0
"009";1;"9 Broadway/To Alma St";1;48;0.0;6.0;12.0
"009";1;"9 Broadway/To Granville St";1;44;0.0;8.0;6.0
"009";1;"9 Broadway/To UBC Exchange";1;28;0.0;1.0;6.0
"010";0;"10 Granville/To Davie St";1;5;0.0;0.0;0.0
"010";0;"10 Granville/To Waterfront Station";2;77;0.0;12.0;13.0
"010";1;"10 Granville/To Marine Dr Station";1;71;0.0;12.0;14.0
"014";0;"14 Downtown";1;10;0.0;0.0;2.0
"014";0;"14 Hastings";3;69;0.0;13.0;15.0
"014";1;"14 UBC";2;70;0.0;11.0;14.0
"015";0;"15 Cambie/To Olympic Village Station";1;70;0.0;11.0;11.0
"015";1;"15 Cambie/To Marine Dr Station";1;71;0.0;12.0;12.0
"016";0;"16 29th Ave Station";3;90;0.0;15.0;16.0
"016";1;"16 Arbutus";2;82;0.0;15.0;20.0
"016";1;"16 Hastings";1;1;0.0;0.0;0.0
"017";0;"17 Oak/To Downtown";1;74;0.0;12.0;12.0
"017";1;"17 Oak/To Marine Dr Station";1;61;0.0;12.0;12.0
"019";0;"19 Kingsway/To Metrotown Station";3;90;0.0;13.0;16.0
"019";0;"19 Pender/To Granville St";1;5;0.0;0.0;3.0
"019";1;"19 Kingsway/To Downtown";1;1;0.0;0.0;0.0
"019";1;"19 Kingsway/To Joyce St";1;4;0.0;0.0;0.0
"019";1;"19 Kingsway/To Stanley Park";2;84;0.0;12.0;16.0
"020";0;"20 Victoria/to 41st Ave";1;9;0.0;0.0;3.0
"020";0;"20 Victoria/To Downtown";3;88;0.0;13.0;11.0
"020";1;"20 Victoria/to 54th Ave";2;7;0.0;0.0;0.0
"020";1;"20 Victoria/To SE Marine Dr";2;73;0.0;14.0;14.0
"022";0;"22 Knight";2;88;0.0;13.0;12.0
"022";0;"22 Knight to 63rd";1;15;0.0;0.0;4.0
"022";0;"22 Knight via Industrial";1;2;0.0;0.0;0.0
"022";0;"22 Knight via Terminal";1;1;0.0;0.0;0.0
"022";1;"22 Downtown";2;85;0.0;12.0;12.0
"022";1;"22 Downtown via Terminal";1;6;0.0;0.0;2.0
"023";0;"23 Pacific/To Main St Station";1;98;0.0;15.0;17.0
"023";1;"23 Pacific/To English Bay";1;99;0.0;15.0;18.0
"025";0;"25 King Edward/To Brentwood Station";2;103;0.0;14.0;21.0
"025";0;"25 King Edward/To Nanaimo Station";1;1;0.0;0.0;0.0
"025";1;"25 King Edward/To Granville St";1;4;0.0;0.0;0.0
"025";1;"25 King Edward/To UBC Exchange";3;95;0.0;12.0;16.0
"026";0;"26 Joyce Station";1;57;0.0;9.0;11.0
"026";1;"26 29th Ave Station";1;57;0.0;9.0;12.0
"027";0;"27 Rupert/To Kootenay Loop";2;56;0.0;9.0;11.0
"027";1;"27 Rupert/To Joyce Station";2;56;0.0;9.0;11.0
"027";1;"27 Rupert/To Kingsway";1;1;0.0;0.0;0.0
"028";0;"28 Boundary/To Kootenay Loop";1;1;0.0;0.0;0.0
"028";0;"28 Boundary/To Phibbs Exchange";2;71;0.0;12.0;12.0
"028";1;"28 Boundary/To Joyce Station";2;72;0.0;12.0;12.0
"028";1;"28 Boundary/To Kootenay Loop";1;1;0.0;0.0;0.0
"029";0;"29 29th Ave Station";1;54;0.0;9.0;11.0
"029";1;"29 Elliott";1;54;0.0;9.0;11.0
"031";0;"31 Metrotown Station";1;47;0.0;6.0;13.0
"031";1;"31 River District";1;47;0.0;6.0;12.0
"033";0;"33 16th & 33RD Avenue/To 29th Avenue Station";1;63;0.0;12.0;12.0
"033";1;"33 16th & 33RD Avenue/To UBC Exchange";1;66;0.0;12.0;11.0
"041";0;"41 41st Ave/To Granville St";1;4;0.0;0.0;1.0
"041";0;"41 41st Ave/To Joyce Station";2;79;0.0;12.0;12.0
"041";1;"41 41st Ave/To Crown St";1;75;0.0;12.0;12.0
"041";1;"41 41st Ave/To Granville St";1;3;0.0;0.0;0.0
"041";1;"41 41st Ave/To Oak St";2;5;0.0;0.0;0.0
"044";0;"44 Downtown Express";1;51;0.0;6.0;13.0
"044";0;"44 Dundarave Express ";1;3;0.0;0.0;2.0
"044";1;"44 UBC Express";2;55;0.0;6.0;11.0
"049";0;"49 Metrotown Station";3;159;0.0;29.0;32.0
"049";0;"49 Metrotown Station ";1;6;0.0;0.0;0.0
"049";1;"49 Langara-49TH Station";1;2;0.0;0.0;0.0
"049";1;"49 To Granville";1;4;0.0;0.0;0.0
"049";1;"49 UBC";1;157;0.0;25.0;27.0
"050";0;"50 Waterfront Station";1;57;0.0;11.0;12.0
"050";1;"50 False Creek South via Granville Island";1;58;0.0;12.0;11.0
"068";0;"68 UBC Exchange";1;66;0.0;12.0;12.0
"068";1;"68 Wesbrook Village";1;66;0.0;12.0;12.0
"080";0;"80 Marine Dr Exp/To River District";1;26;0.0;6.0;5.0
"080";1;"80 Marine Dr Exp/To Marine Dr Station";1;26;0.0;5.0;6.0
"084";0;"84 VCC-Clark Station Express";1;67;0.0;13.0;14.0
"084";1;"84 UBC Express";1;67;0.0;12.0;13.0
"099";0;"99 Broadway B-Line/To Boundary Loop";1;50;0.0;3.0;22.0
"099";0;"99 Broadway B-Line/To Commercial-Broadway Station";2;175;0.0;25.0;29.0
"099";1;"99 Broadway B-Line/To Alma St";1;2;0.0;0.0;0.0
"099";1;"99 Broadway B-Line/To UBC Exchange";2;224;0.0;30.0;40.0
"100";0;"100 22nd St Station ";1;83;0.0;9.0;15.0
"100";0;"100 22nd St Station via Trapp";1;27;0.0;3.0;5.0
"100";1;"100 Marpole";1;81;0.0;9.0;11.0
"100";1;"100 Marpole via Trapp";1;28;0.0;3.0;5.0
"101";0;"101 Lougheed Station";1;43;0.0;6.0;9.0
"101";1;"101 22nd St Station";1;42;0.0;6.0;8.0
