"route_label";"direction_id";"stop_sequence";"stop_name";"stop_lat";"stop_lon"
"002";0;1;"Dunbar Loop @ Bay 2";49.234661;-123.185757
"002";0;2;"Eastbound W 41 Ave @ Collingwood St";49.234698;-123.181583
"002";0;3;"Eastbound W 41 Ave @ Blenheim St";49.234696;-123.178303
"002";0;4;"Eastbound W 41 Ave @ Carnarvon St";49.23467;-123.173495
"002";0;5;"Northbound Mackenzie St @ W 38 Ave";49.237919;-123.170182
"002";0;6;"Northbound Mackenzie St @ W 34 Ave";49.241643;-123.170163
"002";0;7;"Northbound Mackenzie St @ W 30 Ave";49.245547;-123.17011
"002";0;8;"Northbound Quesnel Dr @ W King Edward Ave";49.24951;-123.171667
"002";0;9;"Northbound Macdonald St @ W King Edward Ave";49.248517;-123.167771
"002";0;10;"Northbound Macdonald St @ Oliver Cres";49.249455;-123.167732
"002";0;11;"Northbound Macdonald St @ W 22 Ave";49.253089;-123.167687
"002";0;12;"Northbound Macdonald St @ W 16 Ave";49.258079;-123.168299
"002";0;13;"Northbound Macdonald St @ W 13 Ave";49.260303;-123.168238
"002";0;14;"Northbound Macdonald St @ W 12 Ave";49.261778;-123.168164
"002";0;15;"Northbound Macdonald St @ W 10 Ave";49.263469;-123.168097
"002";0;16;"Northbound Macdonald St @ W 7th Ave";49.266101;-123.168316
"002";0;17;"Northbound Macdonald St @ W 4th Ave";49.268721;-123.168221
"002";0;18;"Northbound Macdonald St @ W 2nd Ave";49.270491;-123.168159
"002";0;19;"Eastbound Cornwall Ave @ Trafalgar St";49.272658;-123.163937
"002";0;20;"Eastbound Cornwall Ave @ Balsam St";49.272582;-123.159332
"002";0;21;"Eastbound Cornwall Ave @ Yew St";49.272516;-123.154543
"002";0;22;"Eastbound Cornwall Ave @ Arbutus St";49.272471;-123.152226
"002";0;23;"Eastbound Cornwall Ave @ Cypress St";49.272368;-123.14734
"002";0;24;"Northbound Burrard St @ Pacific St";49.277226;-123.131783
"002";0;25;"Northbound Burrard St @ Davie St";49.278885;-123.129252
"002";0;26;"Northbound Burrard St @ Comox St";49.280741;-123.126502
"002";0;27;"Northbound Burrard St @ Smithe St";49.282359;-123.124019
"002";0;28;"Northbound Burrard St @ Robson St";49.283593;-123.12214
"002";0;29;"Burrard Station @ Bay 7";49.284688;-123.120503
"002";0;30;"Southbound Burrard St @ W Pender St";49.286063;-123.118847
"002";1;1;"Southbound Burrard St @ W Pender St";49.286063;-123.118847
"002";1;2;"Burrard Station @ Bay 1";49.285306;-123.119982
"002";1;3;"Southbound Burrard St @ Robson St";49.283087;-123.123336
"002";1;4;"Southbound Burrard St @ Barclay St";49.282068;-123.12488
"002";1;5;"Southbound Burrard St @ Nelson St";49.280981;-123.126516
"002";1;6;"Southbound Burrard St @ Davie St";49.278914;-123.12964
"002";1;7;"Southbound Burrard St @ Harwood St";49.277837;-123.131265
"002";1;8;"Westbound Cornwall Ave @ Cypress St";49.272539;-123.148302
"002";1;9;"Westbound Cornwall Ave @ Arbutus St";49.272608;-123.152989
"002";1;10;"Westbound Cornwall Ave @ Yew St";49.272645;-123.155439
"002";1;11;"Westbound Cornwall Ave @ Balsam St";49.272731;-123.160216
"002";1;12;"Westbound Cornwall Ave @ Trafalgar St";49.272795;-123.164773
"002";1;13;"Southbound Macdonald St @ W 1st Ave";49.270753;-123.168323
"002";1;14;"Southbound Macdonald St @ W 4th Ave";49.268064;-123.168411
"002";1;15;"Southbound Macdonald St @ W 6th Ave";49.266274;-123.168483
"002";1;16;"Southbound Macdonald St @ W Broadway";49.264268;-123.168373
"002";1;17;"Southbound Macdonald St @ W 11 Ave";49.261885;-123.16835
"002";1;18;"Southbound Macdonald St @ W 13 Ave";49.260158;-123.168427
"002";1;19;"Southbound Macdonald St @ W 16th Ave";49.258001;-123.168503
"002";1;20;"Southbound Macdonald St @ W 16 Ave";49.257261;-123.168508
"002";1;21;"Southbound Macdonald St @ W 21 Ave";49.253375;-123.16787
"002";1;22;"Southbound Macdonald St @ Alamein Ave";49.249795;-123.167932
"002";1;23;"Westbound W King Edward Ave @ Macdonald St";49.248646;-123.16864
"002";1;24;"Southbound Quesnel Dr @ W King Edward Ave";49.249603;-123.171914
"002";1;25;"Southbound Mackenzie St @ W 29 Ave";49.245848;-123.170308
"002";1;26;"Southbound Mackenzie St @ W 33 Ave";49.242027;-123.17035
"002";1;27;"Southbound Mackenzie St @ W 37 Ave";49.238254;-123.170377
"002";1;28;"Westbound W 41 Ave @ Mackenzie St";49.234822;-123.170847
"002";1;29;"Westbound W 41 Ave @ Carnarvon St";49.234826;-123.174148
"002";1;30;"Westbound W 41 Ave @ Blenheim St";49.234837;-123.179482
"002";1;31;"Westbound W 41 Ave @ Collingwood St";49.234842;-123.182673
"002";1;32;"Dunbar Loop @ Bay 2";49.234661;-123.185757
"003";0;1;"Marine Drive Station @ Bay 1";49.209087;-123.116823
"003";0;2;"Eastbound SW Marine Dr @ Manitoba St";49.212198;-123.109277
"003";0;3;"Eastbound SE Marine Dr @ Ontario St";49.21214;-123.106006
