"route_short_name";"route_long_name";"first_bus_departure";"last_bus_arrival";"service_span_hours";"total_daily_trips";"avg_wait_time_minutes"
"";"Expo Line";" 5:06:00";"25:55:00";20.8;809;1.5
"";"Canada Line";" 4:48:00";"25:41:00";20.9;626;2.0
"";"Millennium Line";" 5:03:00";"25:58:00";20.9;505;2.5
"099";"Commercial-Broadway/UBC (B-Line)";" 5:30:00";"27:29:00";22.0;451;2.9
"R4";"41st Ave";" 5:00:00";"25:36:00";20.6;384;3.2
"049";"Metrotown Station/Dunbar Loop/UBC";" 5:27:00";"25:03:00";19.6;328;3.6
"245";"Phibbs/Capilano";" 5:43:00";"25:41:00";20.0;267;4.5
"R6";"Scott Rd";" 4:29:00";"25:36:00";21.1;258;4.9
"R5";"Hastings St";" 4:52:00";"26:12:00";21.3;258;5.0
"005";"Robson/Downtown";" 5:20:00";"26:11:56";20.9;250;5.0
"006";"Davie/Downtown";" 5:21:00";"26:03:00";20.7;250;5.0
"130";"Metrotown/Phibbs Exchange";" 5:25:00";"25:54:00";20.5;247;5.0
"250";"Horseshoe Bay/Dundarave/Vancouver";" 5:15:00";"25:46:00";20.5;238;5.2
"145";"SFU/Production Station";" 5:47:00";"25:57:00";20.2;227;5.3
"R1";"King George Blvd";" 4:26:00";"25:32:57";21.1;232;5.5
"323";"Newton Exchange/Surrey Central Station";" 4:27:00";"26:27:00";22.0;242;5.5
"023";"Main St Station/English Bay";" 6:00:00";"24:32:00";18.5;197;5.6
"009";"Boundary/Commercial-Broadway/Granville/Alma/UBC";" 4:37:00";"26:49:55";22.2;239;5.6
"016";"29th Avenue Station/Arbutus";" 4:48:00";"21:31:00";16.7;173;5.8
"321";"White Rock/Newton/Surrey Central Station";" 4:12:00";"26:48:00";22.6;233;5.8
"025";"Brentwood Station/UBC";" 5:11:00";"25:02:00";19.9;203;5.9
"503";"Aldergrove/Surrey Central Station";" 4:20:00";"25:02:00";20.7;202;6.1
"002";"Macdonald/Burrard Station";" 5:10:00";"25:58:00";20.8;205;6.1
"100";"22nd St Station/Marpole Loop";" 4:15:00";"26:23:00";22.1;219;6.1
"335";"Newton/Surrey Central Station";" 4:18:00";"25:53:00";21.6;210;6.2
"R3";"Lougheed Hwy";" 5:02:00";"24:27:00";19.4;181;6.4
"106";"New Westminster Station/Edmonds Station";" 4:53:00";"26:36:00";21.7;203;6.4
"640";"Ladner Exchange/Scott Road Station";" 4:30:00";"24:19:00";19.8;185;6.4
"022";"Knight/Downtown";" 4:54:00";"26:11:00";21.3;197;6.5
"410";"Richmond-Brighouse Station/22nd St Station";" 4:23:00";"26:14:00";21.9;203;6.5
"240";"Lynn Valley/Downtown";" 5:05:00";"25:43:00";20.6;187;6.6
"319";"Scott Station/Newton Exchange/Scottsdale";" 4:32:00";"26:35:00";22.1;200;6.6
"R2";"Marine Dr";" 5:08:00";"26:27:00";21.3;189;6.8
"010";"Granville/Waterfront Station";" 4:02:00";"21:29:00";17.5;153;6.8
"019";"Metrotown Station/Stanley Park";" 4:52:00";"26:45:00";21.9;184;7.1
"119";"Edmonds Station/Metrotown Station";" 5:11:00";"26:28:00";21.3;177;7.2
"123";"New West Station/Brentwood Station";" 4:40:00";"26:38:00";22.0;184;7.2
"";"SeaBus";" 5:47:00";"25:34:00";19.8;164;7.2
"044";"UBC/Downtown";" 6:23:00";"19:44:00";13.4;109;7.3
"014";"Hastings/UBC";" 2:59:00";"21:29:00";18.5;149;7.4
"102";"New Westminster Station/Victoria  Hill";" 5:45:00";"24:08:00";18.4;150;7.4
"020";"Victoria/Downtown";" 4:45:00";"26:33:00";21.8;177;7.4
"103";"New Westminster Station/Quayside";" 5:35:00";"24:10:00";18.6;150;7.4
"222";"Metrotown Station/Phibbs Exchange";" 6:01:00";"18:47:00";12.8;102;7.5
"004";"Powell/Downtown/UBC";" 5:13:00";"21:24:00";16.2;130;7.5
"406";"Richmond Brighouse Station/Steveston";" 4:37:00";"26:06:00";21.5;170;7.6
"008";"Fraser/Waterfront Station";" 4:58:00";"26:43:00";21.8;171;7.6
"502";"Langley Centre/Surrey Central Station";" 4:21:00";"26:43:00";22.4;177;7.6
"003";"Main/Waterfront Station";" 4:50:00";"26:34:00";21.7;170;7.7
"084";"UBC/VCC-Clark Station";" 5:58:00";"23:05:00";17.1;134;7.7
"143";"Burquitlam Station/SFU";" 6:01:00";"19:55:00";13.9;108;7.7
"322";"Newton Exchange/Scottsdale";" 4:50:00";"24:31:00";19.7;154;7.7
"337";"Fraser Heights/Guildford/Surrey Centre";" 5:12:00";"23:37:00";18.4;138;8.0
"351";"White Rock Centre/Bridgeport Station";" 4:24:00";"26:42:00";22.3;163;8.2
"373";"Guildford/Surrey Central Station";" 4:45:00";"24:22:00";19.6;143;8.2
"555";"Carvolth Exchange/Lougheed Station";" 4:50:00";"23:28:00";18.6;135;8.3
"068";"UBC Exchange/Wesbrook Village";" 6:40:00";"25:02:00";18.4;132;8.3
"041";"Joyce Station/Crown";" 4:11:00";"27:02:00";22.9;166;8.3
"408";"Brighouse/Ironwood/Riverport";" 4:41:00";"26:03:00";21.4;152;8.4
"050";"Waterfront Station/False Creek South";" 4:57:00";"20:58:00";16.0;115;8.4
"430";"Metrotown/Brighouse Station";" 4:58:00";"23:54:00";18.9;134;8.5
"033";"29th Avenue Station/UBC";" 5:30:00";"24:14:00";18.7;129;8.7
"116";"Edmonds Station/Metrotown Station";" 5:33:00";"23:49:00";18.3;126;8.7
"320";"Langley/Fleetwood/Surrey Central Station";" 4:35:00";"27:03:00";22.5;154;8.8
"028";"Phibbs Exchange/Joyce Station";" 4:40:00";"26:10:59";21.5;145;8.9
"180";"Moody Centre Station/Lougheed Station";" 4:42:00";"24:59:00";20.3;135;9.0
"017";"Downtown/Oak";" 5:12:00";"25:26:00";20.2;135;9.0
"160";"Port Coquitlam Station/Kootenay Loop";" 4:35:00";"26:25:00";21.8;145;9.0
"015";"Cambie/Olympic Village Station";" 4:45:00";"26:14:00";21.5;141;9.1
"701";"Haney/Maple Ridge East/Coquitlam Station";" 4:00:00";"26:33:00";22.6;148;9.1
"144";"SFU/Metrotown Station";" 5:31:00";"25:13:00";19.7;127;9.3
"104";"22nd St Station/Annacis Island";" 5:25:00";"25:24:00";20.0;128;9.4
"401";"Richmond-Brighouse Station/One Road";" 4:37:00";"26:53:00";22.3;142;9.4
"007";"Nanaimo Station/Dunbar";" 5:16:00";"25:34:00";20.3;126;9.7
"324";"Newton Exchange/Surrey Central Station";" 5:04:00";"24:25:00";19.4;120;9.7
"345";"King George Station/White Rock Centre";" 4:52:00";"22:03:00";17.2;106;9.7
"112";"Edmonds Station/New West Station";" 4:45:00";"26:51:00";22.1;134;9.9
"340";"Scottsdale/22nd St Station";" 4:47:00";"25:01:00";20.2;123;9.9
"342";"Langley Centre/Newton Exchange";" 4:47:00";"25:01:00";20.2;121;10.0
"403";"Bridgeport Station/Three Road";" 4:27:00";"26:17:59";21.8;131;10.0
"147";"Metrotown Station/Edmonds Station";" 5:45:00";"24:05:00";18.3;110;10.0
"210";"Upper Lynn Valley/Burrard Station";" 5:23:00";"20:43:00";15.3;90;10.2
"170";"Port Coquitlam Station/Port Coquitlam South";" 5:38:00";"24:10:00";18.5;108;10.3
"128";"Braid Station/22nd Street Station";" 5:24:00";"25:55:00";20.5;120;10.3
"186";"Coquitlam Central Station/Hampton Park";" 5:35:00";"23:31:00";17.9;102;10.5
"031";"Metrotown Station/River District";" 6:00:00";"22:24:00";16.4;94;10.5
"187";"Coquitlam Central Station/Parkway Blvd";" 4:32:00";"23:41:00";19.2;108;10.6
"501";"Langley Centre/Surrey Central Station";" 4:53:00";"25:24:00";20.5;116;10.6
